nomem_encr,gross income,net income,gross income med 2011-2020,gross income std 2011-2020,net income std 2011-2020,age,gender,got married,net income med 2011-2020,how many years first/next child (imp zero),how many years first/next child (imp neg),primary occupation (imp),gross income (imp),net income (imp),civil status (imp),level of education (imp),lives together with partner (imp),urban character (imp),dwelling type (imp),domestic situation (imp),how many years first/next child (imp),how many (more) children (imp),will have (more) children (imp),father birth year (imp),father death year (imp),mother birth year (imp),mother death year (imp),age when parents separated (imp),distance from parents (imp),live together with partner (imp),year relatioship start (imp),year cohabitation start (imp),married (imp),year married (imp),same partner from last year (imp),satisfied with being single (imp),relationship arguments - leisure (imp),relationship arguments - working (imp),childcare hours (imp),childcare expense (imp),children passed away (imp),number of children passed away (imp),household division - jobs (imp),ever contacted a politician(imp),income disparity opinion (imp),opinion - should marry for children (imp),opinion - single parent is acceptable (imp),opinion - divorce is acceptable (imp),number of days for leasure (imp),highest level of education (imp),religion gatherions attendance (imp),speak dutch with partner (imp),speak dutch with children (imp),car value (imp),property value (imp),enterpreneur (imp),pay parental contribution (imp),go to gynaecologist (imp),year last child (imp),num children (imp),how many years first/next child,how many (more) children,will have (more) children,live together with partner,married,same partner,satisfaction with being single,go to gynaecologist,origin (imp),occupation,gross income (imp),net income (imp),civil status,level of education,lives together with partner,urban character,dwelling type,domestic situation,partner has same sex,neuroticism,extraversion,agreableness,conscientiousness,openness,new_child
722350,6400.0,4600,6140.0,371.508516729925,230.6801076465169,41,male,0,4080.0,5,5,Paid employment,4100.0,2900,Never been married,wo (university),No,Extremely urban,Self-owned dwelling,Other,0,1,no,1951,,1946,,,2322.0,no,2020,2006,no,,no,,practically never,practically never,,204,no,,I do a lot more than my partner,yes,,fully disagree,fully agree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",2250,470000,no,yes,no,2015,2,,,no,no,no,no,,no,Dutch background,Paid employment,4100.0,2900,Never been married,wo (university),No,Extremely urban,Self-owned dwelling,Other,False,-1.5254754781029751,0.2683659468975044,-1.512431866526874,1.058136535551124,1.2024433021937513,0
703080,3170.24434999807,2300,3006.9600203544,340.6602252671273,131.29465009879988,38,female,1,2200.0,1,1,Works or assists in family business,740.474493381911,600,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,1,I don't know,1959,2012,1959,,,,yes,2002,2004,yes,2018,yes,,often,often,,40,no,1,I do a lot more than my partner,no,,neither agree nor disagree,agree,neither agree nor disagree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always","yes, sometimes",-9,100000,no,yes,no,2012,1,,,I don't know,yes,yes,yes,,,"First generation foreign, Western background",Works or assists in family business,740.474493381911,600,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,1.9934674385487168,-0.7956749783264566,0.2213704072322541,-1.3560449301292223,-0.5727595384095506,1
719517,15400.0,9600,10200.0,2625.45425581791,1567.2884112266156,33,male,0,7150.0,8,8,Paid employment,4500.0,2250,Never been married,"hbo (higher vocational education, US: college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",0,1,I don't know,1955,,1959,,,0.0,yes,2013,2014,yes,2018,yes,9,occasionally,occasionally,,800,no,,I do more than my partner,no,,disagree,agree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always","yes, often/always",-9,,no,"no, for another reason",no,2020,2,,,I don't know,yes,yes,yes,,no,"Second generation foreign, non-western background",Paid employment,4500.0,2250,Never been married,"hbo (higher vocational education, US: college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.9118903536023508,0.9937521907746624,0.0080451551793442,-1.2935195589453516,-0.2350968745778813,1
720411,12250.0,7700,6713.0,2274.000899489249,1428.8651246661486,33,female,1,4646.0,7,7,Paid employment,4250.0,3800,Married,wo (university),Yes,Not urban,Cost-free dwelling,"(Un)married co-habitation, without child(ren)",1,2,yes,1960,,1965,,20,,yes,2007,2007,yes,2013,yes,,practically never,often,,,no,,I do more than my partner,no,,disagree,neither agree nor disagree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always",not applicable,7000,370000,no,not applicable,no,,0,,,,,,,,no,Dutch background,Paid employment,4250.0,3800,Married,wo (university),Yes,Not urban,Cost-free dwelling,"(Un)married co-habitation, without child(ren)",False,-1.2656918365140255,-0.726363875640539,-0.4951502216597714,-0.4236531407547418,-0.9985592175019868,1
714836,,,3300.0,1919.1379471192945,1321.0363333910216,37,male,1,2300.0,0,0,Paid employment,4800.0,3000,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",0,2,yes,1950,,1952,,,0.0,yes,2018,2019,no,,yes,6,practically never,practically never,,,no,,we do roughly the same amount of work,no,,fully disagree,fully agree,agree,1 day per week,university,never,"yes, often/always",not applicable,8000,400000,no,not applicable,no,,0,0,2,yes,yes,no,yes,,no,Dutch background,Paid employment,4800.0,3000,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.4690625616486756,-0.2558518103355468,1.068460605292164,0.997320127902183,0.3094429134457416,1
730420,6457.0,4650,4870.0,1390.622710883398,802.2368937000124,39,male,0,4100.0,3,3,Paid employment,3757.0,2550,Married,"vmbo (intermediate secondary education, US: junior high school)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",5,1,I don't know,1953,2014,1954,,3,,yes,2008,2008,yes,2009,yes,,practically never,practically never,,340,no,,my partner does more than I,no,,fully agree,disagree,neither agree nor disagree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",6000,480000,no,yes,no,2012,1,,,I don't know,yes,yes,yes,,no,"Second generation foreign, non-western background",Paid employment,3757.0,2550,Married,"vmbo (intermediate secondary education, US: junior high school)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.8093283092889909,-1.92237555279838,-1.8655349184839416,0.3307127355374212,-0.2779537354562739,0
719279,2600.0,2321,1925.0,259.70532505320034,234.1157814350304,34,female,0,1610.0,,,Paid employment,2600.0,2321,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Moderately urban,Rental dwelling,Single,,,I don't know,1950,,1956,,,8771.38358527319,no,2003,,no,,,7,practically never,practically never,,,no,,,no,differences in income should decrease,fully disagree,agree,fully agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,not applicable,not applicable,,,no,not applicable,no,,0,,,I don't know,,,,7,no,Dutch background,Paid employment,2600.0,2321,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Moderately urban,Rental dwelling,Single,False,-1.3861537907421844,0.7482321470603802,-0.3977566089256312,0.9891627475453436,-0.2240087363256184,0
709888,2400.0,1800,1200.0,653.4674749194998,493.12753059426296,30,male,0,1250.0,4,4,Paid employment,2400.0,1800,Never been married,wo (university),No,Moderately urban,Rental dwelling,Single,4,2,yes,1953,2008,1958,2002,,,yes,2017,2017,no,,yes,7,practically never,occasionally,,,no,,I do more than my partner,no,,agree,disagree,agree,1 day per week,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",at least once a month,"yes, often/always",not applicable,1,405000,no,not applicable,no,,0,4,2,yes,yes,no,yes,,no,Dutch background,Paid employment,2400.0,1800,Never been married,wo (university),No,Moderately urban,Rental dwelling,Single,False,-0.6972740164558304,1.6790557205549568,0.4096688025932174,-0.2606898840109961,1.2412338700210104,0
710798,5900.0,4400,4800.0,1050.060933967023,624.9943819972224,31,male,1,3900.0,1,1,Paid employment,3000.0,2200,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,1,yes,1951,,1953,,,3231.0,yes,2006,2013,yes,2016,yes,,occasionally,occasionally,,720,no,,I do more than my partner,yes,,disagree,disagree,agree,never,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",never,"yes, often/always",not applicable,6000,230000,no,not applicable,no,2019,1,1,1,yes,yes,yes,yes,,no,Dutch background,Paid employment,3000.0,2200,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-1.8894560105866949,0.0492510996558531,0.6376772058961735,-0.2357468728629981,0.2370322449029589,1
730809,2800.0,2300,1935.19396837669,809.5677168752977,626.3813929868385,29,male,0,1500.0,,,Paid employment,2800.0,2300,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",,,I don't know,1973,,1974,,,58212.0,yes,2009,2012,no,,yes,8,practically never,practically never,,,no,,I do a lot more than my partner,no,,disagree,neither agree nor disagree,agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",,"yes, often/always",not applicable,1500,,no,not applicable,no,,0,,,,,,,,,Dutch background,Paid employment,2800.0,2300,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",False,-0.8457711852943212,-1.335294207080604,-0.2274604159448517,0.2833559891486176,0.4776033201924152,1
718947,11372.3883982375,7350,9094.70108592153,1675.5676953983525,1013.1534809252104,30,female,0,6250.0,,,Paid employment,4285.12265481229,2750,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,I don't know,1963,,1961,,,0.0,no,2018,,no,,no,7,occasionally,practically never,,,no,,,no,,disagree,agree,agree,2 days per week,"HBO (higher professional education, US: college)",never,"yes, often/always",not applicable,3000,,no,not applicable,yes,,0,,,I don't know,,,,7,yes,Dutch background,Paid employment,4285.12265481229,2750,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,1.0317273357213577,-0.1252448570582137,-0.1885722416428594,-1.505049429707486,-1.3339292398673286,0
731592,3883.00959938078,3369,3472.65915636499,248.47777370013657,269.1659997516486,44,female,0,2496.0,,,Takes care of the housekeeping,948.009599380784,750,Married,"vmbo (intermediate secondary education, US: junior high school)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1948,,1953,,,1543.0,yes,2000,2002,yes,2003,yes,,occasionally,practically never,9,60,no,,we do roughly the same amount of work,no,differences in income should decrease,disagree,agree,neither agree nor disagree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",once or a few times a year,"yes, often/always","yes, often/always",6000,,no,yes,yes,2004,1,,,no,yes,yes,yes,,yes,Dutch background,Takes care of the housekeeping,948.009599380784,750,Married,"vmbo (intermediate secondary education, US: junior high school)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.7302348917300798,-0.3622525041065183,0.5108263181752015,0.2757322685284588,-0.528001459288622,0
700970,4450.0,3187,4450.0,0.0,0.0,41,male,0,3187.0,2,2,Paid employment,2250.0,1605,Married,wo (university),Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",0,1,no,1944,,1948,,,4163.0,yes,2002,2005,yes,2008,yes,,occasionally,practically never,2,,no,,I do more than my partner,no,,disagree,neither agree nor disagree,agree,never,,never,"yes, often/always","yes, often/always",10000,420000,no,yes,no,2012,2,,,no,yes,yes,yes,,no,Dutch background,Paid employment,2250.0,1605,Married,wo (university),Yes,,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.1347150098171929,-0.0265368536426409,0.0411744294993905,-0.328677788685017,-0.3635301050271647,0
701853,9000.0,5980,7545.0,1172.2447327004054,792.3766532245983,33,male,0,4950.0,10,10,Paid employment,5000.0,3240,Never been married,wo (university),Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",4,2,yes,1956,,1959,,,12888.3718909721,yes,2007,2009,no,,yes,,occasionally,practically never,,,no,,we do roughly the same amount of work,no,differences in income should decrease,fully disagree,agree,agree,1 day per week,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",once or a few times a year,"yes, often/always",not applicable,2500,280000,no,not applicable,no,,0,,,,,,,,,Dutch background,Paid employment,5000.0,3240,Never been married,wo (university),Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.3685006742312403,-1.2412265754440526,0.12235748273442,-0.4384182963164934,0.5008541312421829,1
710367,5270.57775734405,3850,2150.0,1695.3058694794584,1212.8187664184916,30,female,0,1600.0,2,2,Paid employment,2900.0,2200,Never been married,wo (university),Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",2,1,yes,1955,,1956,,5,,yes,2008,2017,no,,yes,2,occasionally,practically never,,,no,,we do roughly the same amount of work,no,,fully disagree,neither agree nor disagree,agree,2 days per week,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",never,"yes, often/always",not applicable,7000,550000,no,not applicable,no,,0,2,1,yes,yes,no,yes,,no,Dutch background,Paid employment,2900.0,2200,Never been married,wo (university),Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,1.0256035904170655,-0.8674996523620853,0.5446594750577133,1.4551271952271956,-0.66931937699954,1
718217,5791.73649990682,4212,4960.0,776.2208534324938,542.9783480010494,33,male,1,3757.0,9,9,Paid employment,3813.0,2771,Married,"hbo (higher vocational education, US: college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",5,2,no,1956,,1960,,,1278.0,yes,2007,2010,yes,2018,yes,,practically never,practically never,,,no,,I do a lot more than my partner,no,differences in income should decrease,fully disagree,neither agree nor disagree,fully agree,never,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",never,"yes, often/always",not applicable,4000,500000,no,not applicable,no,,0,,,no,yes,yes,yes,,no,Dutch background,Paid employment,3813.0,2771,Married,"hbo (higher vocational education, US: college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.5888798662358424,-0.9984404920797352,1.1574077535875822,1.4318886004359477,-1.9066930360922627,0
711120,3000.0,2200,2400.0,521.5174348454024,385.1083554162288,29,female,0,1900.0,16,16,Paid employment,3000.0,2200,Never been married,"hbo (higher vocational education, US: college)",No,Very urban,Rental dwelling,Single,6,3,I don't know,1953,,1953,,,1600.48398929824,yes,2018,2020,no,,yes,5,occasionally,occasionally,,,no,,we do roughly the same amount of work,no,differences in income should decrease,fully disagree,disagree,fully agree,1 day per week,"HBO (higher professional education, US: college)",never,"yes, often/always",not applicable,1000,,no,not applicable,no,,0,,,I don't know,yes,no,yes,,no,Dutch background,Paid employment,3000.0,2200,Never been married,"hbo (higher vocational education, US: college)",No,Very urban,Rental dwelling,Single,False,1.3154462450907114,0.0855037774566723,0.1690220146846413,-0.3874378425393704,-0.4125452219398148,0
712613,2577.4142108627,1750,2049.20741057852,65852.06909964042,18073.369951087967,31,female,1,1500.0,,,Takes care of the housekeeping,0.0,0,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",,,no,1961,,1967,,,36034.0,yes,2012,2014,yes,2014,yes,9,practically never,practically never,,,no,,I do more than my partner,no,,fully agree,neither agree nor disagree,fully disagree,never,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",more than once a week,"yes, often/always",not applicable,-9,,no,not applicable,no,,0,,,no,yes,yes,yes,,no,Dutch background,Takes care of the housekeeping,0.0,0,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",False,0.1263862716925233,-2.2348084819019363,-0.2164788661895152,0.3871467826569026,-0.810940398933099,0
707827,7900.0,4700,7300.0,370.30124873230506,410.4227733325254,45,female,0,4200.0,0,-2,Paid employment,5100.0,2800,Never been married,wo (university),Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,1,no,1949,,1952,,,14075.0,yes,1999,2001,no,,yes,,occasionally,often,,350,no,,my partner does more than I,no,,disagree,agree,agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",never,"yes, often/always","yes, often/always",7000,55000,no,yes,no,2013,1,,,,yes,no,yes,,no,Dutch background,Paid employment,5100.0,2800,Never been married,wo (university),Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.3681905092970693,0.8221309573818385,-0.8416315208738723,-0.572035568473161,-0.3153190421980383,0
711842,6180.0,3600,3850.0,963.3959319772982,568.1504085788076,42,male,0,2250.0,0,0,Paid employment,4980.0,2700,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,2,no,1948,2008,1949,,,4983.4688721813,yes,1999,2000,no,,yes,,occasionally,occasionally,8,350,no,,I do more than my partner,no,differences in income should decrease,disagree,neither agree nor disagree,agree,1 day per week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",3000,210000,no,yes,no,2010,2,,,no,yes,no,yes,,no,Dutch background,Paid employment,4980.0,2700,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.6386507651591403,0.244850581549116,0.1502593482887307,0.4718278385943169,-0.1912663013361498,0
703460,5500.0,4500,2662.33870087972,1377.6896851874908,1229.0262918177157,44,female,0,1800.0,0,0,Paid employment,3000.0,2000,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,2,no,1953,,1956,2015,20,,yes,2009,2011,no,,yes,0 entirely dissatisfied,occasionally,occasionally,5,350,no,,I do more than my partner,no,,fully disagree,agree,agree,less than 1 day a week,,never,"yes, often/always","yes, often/always",12000,260000,no,yes,no,2015,1,,,no,yes,no,yes,,no,Dutch background,Paid employment,3000.0,2000,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.8112000842248857,-0.0852612200052985,0.1964650007635156,1.078801004980316,-0.8060684010043371,0
716851,7069.36320561483,4485,5577.4142108627,879.1672039491514,436.6261439099226,41,female,1,3656.0,2,2,Paid employment,2536.36320561483,1750,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",0,1,no,1954,,1955,,17,,yes,2000,2001,yes,2018,yes,,occasionally,practically never,5,250,no,,my partner does a lot more than I,no,,disagree,agree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",,,no,yes,no,2016,2,,,no,yes,yes,yes,,,Dutch background,Paid employment,2536.36320561483,1750,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.1511355311571565,-0.2071974938401726,-0.95352951650899,-0.7511804775751836,-1.1530121387388628,0
727528,7500.0,4800,6000.0,709.5378452575507,245.14949846731304,38,female,1,4400.0,4,4,Paid employment,3000.0,2100,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",0,1,no,1956,,1958,2007,,,yes,2006,2007,yes,2013,yes,,practically never,practically never,,300,no,,my partner does more than I,no,,disagree,agree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",5000,,no,yes,no,2012,2,,,no,,,,,no,Dutch background,Paid employment,3000.0,2100,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,2.104886168983586,-0.7831415909158838,1.0663616250291053,1.446679863099004,-0.1390637701831366,0
725114,5800.0,3250,4644.0,665.0092231793072,360.3236296363984,45,male,1,2899.0,,,Paid employment,5800.0,3250,Married,wo (university),No,Slightly urban,Rental dwelling,Single,,,no,1937,2017,1939,,,16696.0764552634,yes,2003,2010,yes,2018,yes,,practically never,practically never,,,no,,I do a lot more than my partner,no,differences in income should decrease,fully disagree,fully agree,fully agree,never,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",8000,,no,not applicable,no,1999,3,,,no,yes,yes,yes,,no,Dutch background,Paid employment,5800.0,3250,Married,wo (university),No,Slightly urban,Rental dwelling,Single,False,1.4180802525076432,-1.316819799254431,0.4883982554743238,0.8606322810288036,1.9455739809127923,0
705140,5697.32878610408,3839,4499.28698256895,734.0996195284985,366.2644176181921,43,female,0,3333.0,0,-1,Paid employment,2553.04180353513,1760,Married,"hbo (higher vocational education, US: college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",0,1,no,1943,,1952,,,0.0,yes,2001,2002,yes,2005,yes,,practically never,practically never,,800,no,1,my partner does a lot more than I,no,,fully disagree,agree,agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",once a week,"yes, often/always","yes, often/always",6000,275000,no,yes,no,2009,2,,,no,yes,yes,yes,,no,Dutch background,Paid employment,2553.04180353513,1760,Married,"hbo (higher vocational education, US: college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,1.2162591276500907,1.619342538245925,1.0177795834499346,0.6205010460756218,-1.0371531228105677,0
715223,10459.6393397073,7609,8063.87767773223,1234.2551040841086,669.8281735507435,32,female,1,5850.0,1,1,Paid employment,3300.0,2250,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",1,3,yes,1947,,1953,,,,no,2002,,no,,,0 entirely dissatisfied,occasionally,often,,,no,,,no,,disagree,neither agree nor disagree,neither agree nor disagree,2 days per week,"HBO (higher professional education, US: college)",once a week,"yes, often/always",not applicable,3000,,no,not applicable,yes,,0,1,3,yes,,,,,yes,"Second generation foreign, non-western background",Paid employment,3300.0,2250,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",False,2.159291111114285,-0.1743386125365454,-1.4527815266855677,-1.1410256695924357,-0.0620090880515327,1
713065,3400.0,2800,3200.0,753.0536877478999,601.3709590074656,33,female,1,2600.0,0,0,Takes care of the housekeeping,1000.0,800,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",0,1,yes,1957,,1954,,23,8506.197,yes,2007,2008,yes,2020,yes,,occasionally,occasionally,,,no,,we do roughly the same amount of work,no,,neither agree nor disagree,fully disagree,fully agree,never,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always",not applicable,5000,,no,not applicable,yes,2020,1,0,1,yes,yes,yes,yes,,yes,Dutch background,Takes care of the housekeeping,1000.0,800,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",False,0.2275801230433501,1.137071339538383,1.1658268784828472,-1.3072528849412997,0.3358313083636794,1
728305,4700.0,4500,5500.0,1021.2459610291672,967.6474165456542,30,male,0,4500.0,7,7,Paid employment,2250.0,1750,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",10,2,no,1962,,1963,,10,,,,,,,,9,,,,,no,,,no,,fully disagree,disagree,agree,2 days per week,,never,not applicable,not applicable,15000,,no,not applicable,no,,0,,,no,,,,9,no,Dutch background,Paid employment,2250.0,1750,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.8544696432696058,1.9554293346240104,-2.53544028208406,1.9146039412590652,1.794929851036887,0
713484,,,4304.21907837452,907.624877943449,524.0569255237053,43,female,0,3000.0,3,3,Paid employment,1726.80486751182,1250,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,1,no,1951,,1952,,,10352.0,yes,1995,1998,yes,2007,yes,,occasionally,occasionally,,600,no,,my partner does a lot more than I,no,,fully disagree,agree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",once or a few times a year,"yes, often/always","yes, often/always",-9,350000,no,yes,yes,2009,2,,,no,yes,yes,yes,,,Dutch background,Paid employment,,,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.2239869779762408,-0.5896720140166248,0.1017816568907171,-0.4631688813298494,-1.8052093400220608,0
725274,6865.0,5511,4071.0,505.6975310187972,474.5665448572965,43,female,0,2889.0,,,Paid employment,3161.0,2964,Married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1944,2020,1950,,,2113.84247284418,yes,1998,2002,yes,2005,yes,,practically never,practically never,,293,no,,my partner does more than I,no,,neither agree nor disagree,disagree,agree,less than 1 day a week,university,once a week,"no, never","yes, sometimes",5000,390000,no,yes,no,2015,3,,,no,yes,yes,yes,,no,Dutch background,Paid employment,3161.0,2964,Married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.6312543314764667,0.1408750727554291,0.5110618406630651,1.0908608413424463,1.462753071223816,0
700541,5362.96782798546,3750,4143.8053540625,812.2816014725389,429.7799664262817,39,female,0,2922.0,,,Has (partial) work disability,1759.7242024343,1300,Married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Very urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",,,no,1949,,1939,2010,,6161.0,yes,1998,1998,yes,1999,yes,,occasionally,practically never,,,no,,I do more than my partner,no,,agree,disagree,neither agree nor disagree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",2000,245000,no,yes,no,2002,1,,,no,yes,yes,yes,,no,"Second generation foreign, Western background",Has (partial) work disability,1759.7242024343,1300,Married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Very urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",False,0.1213707596144461,0.923343033186464,1.3576048627596509,0.2676874369585608,0.9272503780609762,0
706275,4597.43546461687,3100,3819.53553922764,906.265276205262,606.3611546058282,41,male,1,2700.0,0,-2,Paid employment,3624.77630825187,2350,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Cost-free dwelling,"(Un)married co-habitation, without child(ren)",1,1,no,,,,,,,no,2015,2011,no,,yes,8,often,occasionally,16,700,no,,,no,differences in income should decrease,disagree,agree,neither agree nor disagree,never,,never,"yes, often/always","yes, often/always",18000,9999999999,no,"no, for another reason",no,2020,2,,,no,no,no,yes,,no,Dutch background,Paid employment,3624.77630825187,2350,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Cost-free dwelling,"(Un)married co-habitation, without child(ren)",False,1.1947058769264558,0.8385203395894204,-0.6494588364786485,0.8538044375909392,-0.4993910458762414,0
